Time,Lx,Ly,Lz
91.883,0.000000,0.000000,10237.295548
91.884,0.000000,0.000000,10237.310774
91.885,0.000000,0.000000,10237.326000
91.886,0.000000,0.000000,10237.341225
91.887,0.000000,0.000000,10237.356450
91.888,0.000000,0.000000,10237.371675
91.889,0.000000,0.000000,10237.386900
91.89,0.000000,0.000000,10237.402124
91.891,0.000000,0.000000,10237.417348
91.892,0.000000,0.000000,10237.432572
91.893,0.000000,0.000000,10237.447796
91.894,0.000000,0.000000,10237.463019
91.895,0.000000,0.000000,10237.478242
91.896,0.000000,0.000000,10237.493465
91.897,0.000000,0.000000,10237.508688
91.898,0.000000,0.000000,10237.523910
91.899,0.000000,0.000000,10237.539132
91.9,0.000000,0.000000,10237.554354
91.901,0.000000,0.000000,10237.569576
91.902,0.000000,0.000000,10237.584797
91.903,0.000000,0.000000,10237.600018
91.904,0.000000,0.000000,10237.615239
91.905,0.000000,0.000000,10237.630460
91.906,0.000000,0.000000,10237.645680
91.907,0.000000,0.000000,10237.660900
91.908,0.000000,0.000000,10237.676120
91.909,0.000000,0.000000,10237.691340
91.91,0.000000,0.000000,10237.706559
91.911,0.000000,0.000000,10237.721778
91.912,0.000000,0.000000,10237.736997
91.913,0.000000,0.000000,10237.752216
91.914,0.000000,0.000000,10237.767434
91.915,0.000000,0.000000,10237.782653
91.916,0.000000,0.000000,10237.797871
91.917,0.000000,0.000000,10237.813088
91.918,0.000000,0.000000,10237.828306
91.919,0.000000,0.000000,10237.843523
91.92,0.000000,0.000000,10237.858740
91.921,0.000000,0.000000,10237.873956
91.922,0.000000,0.000000,10237.889173
91.923,0.000000,0.000000,10237.904389
91.924,0.000000,0.000000,10237.919605
91.925,0.000000,0.000000,10237.934821
91.926,0.000000,0.000000,10237.950036
91.927,0.000000,0.000000,10237.965251
91.928,0.000000,0.000000,10237.980466
91.929,0.000000,0.000000,10237.995681
91.93,0.000000,0.000000,10238.010895
91.931,0.000000,0.000000,10238.026110
91.932,0.000000,0.000000,10238.041324
91.933,0.000000,0.000000,10238.056537
91.934,0.000000,0.000000,10238.071751
91.935,0.000000,0.000000,10238.086964
91.936,0.000000,0.000000,10238.102177
91.937,0.000000,0.000000,10238.117389
91.938,0.000000,0.000000,10238.132602
91.939,0.000000,0.000000,10238.147814
91.94,0.000000,0.000000,10238.163026
91.941,0.000000,0.000000,10238.178238
91.942,0.000000,0.000000,10238.193449
91.943,0.000000,0.000000,10238.208660
91.944,0.000000,0.000000,10238.223871
91.945,0.000000,0.000000,10238.239082
91.946,0.000000,0.000000,10238.254293
91.947,0.000000,0.000000,10238.269503
91.948,0.000000,0.000000,10238.284713
91.949,0.000000,0.000000,10238.299923
91.95,0.000000,0.000000,10238.315132
91.951,0.000000,0.000000,10238.330341
91.952,0.000000,0.000000,10238.345550
91.953,0.000000,0.000000,10238.360759
91.954,0.000000,0.000000,10238.375967
91.955,0.000000,0.000000,10238.391176
91.956,0.000000,0.000000,10238.406384
91.957,0.000000,0.000000,10238.421591
91.958,0.000000,0.000000,10238.436799
91.959,0.000000,0.000000,10238.452006
91.96,0.000000,0.000000,10238.467213
91.961,0.000000,0.000000,10238.482420
91.962,0.000000,0.000000,10238.497626
91.963,0.000000,0.000000,10238.512832
91.964,0.000000,0.000000,10238.528038
91.965,0.000000,0.000000,10238.543244
91.966,0.000000,0.000000,10238.558450
91.967,0.000000,0.000000,10238.573655
91.968,0.000000,0.000000,10238.588860
91.969,0.000000,0.000000,10238.604065
91.97,0.000000,0.000000,10238.619269
91.971,0.000000,0.000000,10238.634473
91.972,0.000000,0.000000,10238.649677
91.973,0.000000,0.000000,10238.664881
91.974,0.000000,0.000000,10238.680084
91.975,0.000000,0.000000,10238.695288
91.976,0.000000,0.000000,10238.710491
91.977,0.000000,0.000000,10238.725693
91.978,0.000000,0.000000,10238.740896
